singRecp,singRecp-href,Overview,Profile,Rating,Ingred1,Ingred2,Ingred3,Ingred4,Ingred5,Ingred6,Ingred7,Ingred8,Ingred9,Ingred10,Ingred11,Ingred12,Procedure
"David Smith's Porter","https://beerrecipes.org/Recipe/301/david-smiths-porter.html","Beer Style: Brown Porter (12A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.056 at 60 degrees
 Final Gravity: 1.024
 Alcohol by Vol: 4.19%
 Recipe Type: extract
 Yield: 5.00 US Gallons","5.0 stars based on 2 votes

No reviews","3.3 pounds, John Bull dark extract","3.6 pounds, light Australian dry malt","1 pound, black patent malt (coarsely crushed)","2 ounces, Cascade hops","1/2 ounce, Tettnanger hops","1 ounce, Tettnanger hops (finish)","1 pack, Edme ale yeast","3/4 cup, corn sugar (priming)","null","null","null","null","Add crushed black patent malt to 1-1/2 gallons cold water. Bring to boil. (This recipe was made by boiling malt for 10 minutes, however, conventional wisdom is to avoid boiling whole grains). Strain out malt. Add extract and dry malt and Cascade and 1/2 ounce Tettnanger hops. Boil 60 minutes. Add finishing hops and boil 1 minute. Remove from heat and steep 1-2 minutes. Sparge into 3-1/2 gallons cold water. Cool and pitch yeast."
"Black Roesler","https://beerrecipes.org/Recipe/3999/black-roesler.html","Beer Style: Schwarzbier (Black Beer) (4C)

Recipe Type: all-grain

Yield: 6.08 US gallons","Original Gravity: 1.050 (12.4° P)
 Final Gravity: 1.012 SG (3.1° P)
 Alcohol by Vol: 5.0%
 Color SRM: 30.5  Color Sample 
 Bitterness IBU: 27.6
 Recipe Type: all-grain
 Yield: 6.08 US Gallons","5.0 stars based on 1 votes

1 reviews, Read the reviews","6 lbs 9.8 oz - Pilsner Malt - (Dingemans) - G7001 (1.8 SRM) (Grain)","4 lbs 3.0 oz - Munich I Malt (Weyermann®) - G5005AMELB (8.6 SRM) (Grain)","8.8 oz - Chocolate Malt (Thomas Fawcwtt) - G1009TF (609.1 SRM) (Grain)","5.1 oz - Caramalt Malt (Barett Burston) - G2020MELB (25.4 SRM) (Grain)","4.0 oz - Carafa® Special T1 Malt (Weyermann®) - G5026AMELB (456.9 SRM) (Grain)","0.9 oz - Hallertau Tradition - HALTRADGERPEL90 [6.8%] - Boil 60 min (Hops)","0.96 - Whirlfloc Tablet (Boil 15 min) (Misc)","0.7 oz - Hallertau Mittelfrueh - HALGERPEL90 [5.2%] - Boil 15 min (Hops)","0.7 oz - Hallertau Mittelfrueh - HALGERPEL90 [5.2%] - Boil 5 min (Hops)","1 pkgs - SafLager West European Lager (DCL/Fermentis #S-23) (Yeast)","null","null","null"
"Knappstein Reserve Lager clone","https://beerrecipes.org/Recipe/1144/knappstein-reserve-lager-clone.html","Beer Style: Standard American Lager (1B)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.060
 Final Gravity: 1.010
 Alcohol by Vol: 6.55%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","5.0 stars based on 2 votes

No reviews","4.5kg Premium / Pale Pilsener malt","500g Wheat malt","200g Carapils","Nelson Sauv - 20g-60min","- 15g - 30min","- 10g - 15min","2x swiss lager yeast.","null","null","null","null","null","mashes at 65deg for 90min

Boiled 60 min.

Koppafloc added 5 mins before flame out, plus yeast nutrient.

This beer was cold conditioned at 3deg for 3.5 weeks after primary fermentation was complete.

Primary approx 14 days at 12deg"
"Timothy Taylor Best Bitter","https://beerrecipes.org/Recipe/8680/timothy-taylor-best-bitter.html","Beer Style: Special/Best/Premium Bitter (8B)

Recipe Type: all-grain

Yield: 6.08 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","9 lbs 15.5 oz - Golden Promise pale malt (1.7 SRM) (Grain)","11.4 oz - Caramel/Crystal Malt -120L (76.1 SRM) (Grain)","1.0 oz - Fuggles [4.7%] - Boil 90 min (Hops)","0.9 oz - Styrian Goldings [4.0%] - Boil 90 min (Hops)","0.10 g - Irish Moss (Boil 10 min) (Misc)","0.4 oz - Goldings, East Kent [5.0%] - Steep 15 min (Hops)","1 pkgs - British Real Ale (Brewtek #CL-0150) (Yeast)","null","null","null","null","null","null"
"Holiday Cider","https://beerrecipes.org/Recipe/904/holiday-cider.html","Beer Style: Common Cider (27A)

Recipe Type: other

Yield: 5 US gallons","Original Gravity: 1.100
 Final Gravity: 0.998
 Alcohol by Vol: 13.36%
 Recipe Type: other
 Yield: 5.00 US Gallons","5.0 stars based on 3 votes

1 reviews, Read the reviews","5 gallons, Apple Juice (Gravenstein/Jonathan blend)","6 cups, Maple Syrup","7/3 tablespoon, Whole Cloves","1/2 Whole nutmeg, grated","10 4 inch cinnamon sticks","3 lemons (juice and zest)","2 inches, ginger root, peeled and grated","1 pack, Red Star Champagne Yeast","null","null","null","null","Simmer 3/4 gallon apple juice, spices and ginger (in spice bags), syrup, and lemon juice and zest for 45 mins. Add simmered mix to 4--1/4 gallon. Put cider in carboy. Pitch yeast and top off with more apple juice. Ferment for 34 days. Rack to secondary and top off with more apple juice. Prime with 3/4 cup corn sugar and bottle. Age for 30 days and consume."
"Black Camp Stout","https://beerrecipes.org/Recipe/963/black-camp-stout.html","Beer Style: Dry Stout (13A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.044
 Final Gravity: 1.011
 Alcohol by Vol: 4.32%
 Recipe Type: extract
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

No reviews","6.6 lbs Dark Malt Extract",".60 lbs Roasted Barley",".40 lbs Flaked Barley",".25lb Black Patent","1 oz Northern Brewer Hops (bittering)","Wyeast 1084 Irish Yeast","Irish Moss","Gypsum","null","null","null","null","Steep grains for 30 minutes at 155



Add Extract and hops at Boil



Boil 60 minutes then cool, sparge, and pitch yeast."
"Odyssey Craft Brewing - Yeti's Mint (Double Mint Chocolate Stout)","https://beerrecipes.org/Recipe/3880/odyssey-craft-brewing-yetis-mint-double-mint-chocolate-stout.html","Beer Style: American Stout (13E)

Recipe Type: all-grain

Yield: 5.5 US gallons","null","5.0 stars based on 2 votes

1 reviews, Read the reviews","13 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","1 lbs - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain)","1 lbs - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","1 lbs - Chocolate Malt (350.0 SRM) (Grain)","2.0 oz - Magnum [20.5%] - Boil 30 min (Hops)","1.00 oz - Cinnamon Stick (Boil 30 min) (Misc)","20.00 oz - Ghiradelli - Cocoa Powder, Unsweetend (Boil 16 min) (Misc)","1.10 - Whirlfloc Tablet (Boil 15 min) (Misc)","2 pkgs - Safale US-04 (DCL Yeast #US-04) (Yeast)","2.00 oz - Flavorganics - Organic Peppermint Extract (Bottling 5 min) (Misc)","null","null","null"
"Berghem Beamish","https://beerrecipes.org/Recipe/482/berghem-beamish.html","Beer Style: Sweet Stout (13B)

Recipe Type: all-grain

Yield: 5 US gallons","Source:
Fredrik Stahl","5.0 stars based on 4 votes

No reviews","2.85 kg pale malt","160 g chocolate malt","400 g roasted barley","400 g wheat malt (!)","200 g white sugar (in kettle)","23 g Northern Brewer, pellets, 6.3% AA @ 120 min","25 g Fuggles, leaf, 5% AA @ 120 min.","11 g Fuggles, leaf, 5% AA @ 15 min.","Salts: 3.6 g CaCO3, 0.5 g CaCl2, 1.3 g CaSO4 and 0.3 g NaCl.","WYeast #1084 Irish","null","null","Step mash 30 min @ 43C, 45 min @ 60C, 15 min @ 70C and 15 min @ 77C. 



Total boil time: 120 min. 



Fermented with WYeast #1084 Irish at 19.5C. Open fermentation in primary for 5 days and closed in secondary for 8 days."
"Summer Rest","https://beerrecipes.org/Recipe/1235/summer-rest.html","Beer Style: Classic American Pilsner (2C)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.055
 Final Gravity: 1.012
 Alcohol by Vol: 5.63%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","5.0 stars based on 5 votes

No reviews","8 lb American 6 Row","2 lb Flaked Maze","3 oz Saaz","1/4 tps irish moss","White labs Pilsner 800","null","null","null","null","null","null","null","Mash in at 122 for 30 minuets. Raise temp to 153 for full conversion that takes about an hour. Mash out at 168 for 15 minuets. Boil for 60 min. add 1.5 oz saaz at start of boil. Add 1.5 oz saaz at 20 left in boil. Add Irish moss last 10 minuets of boil. Make a starter of about 1/4 cup of yeast and pitch at 52 Degrees. Very simple recipe but oh so good when it's done."
"Hermon Lager - ISRAEL","https://beerrecipes.org/Recipe/1343/hermon-lager-israel.html","Beer Style: Standard American Lager (1B)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.054
 Final Gravity: 1.012
 Alcohol by Vol: 5.5%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","5.0 stars based on 2 votes

1 reviews, Read the reviews","4.00 k""g - Pilsner","0.50 k""g - Cara-Pils / Dextrine","0.45 k""g - Caramel / Crystal Malt 60L","30 g""m - Perle 8% - 35 min","30 g""m - perle 8% - 5 min","Lager Yeast W-34/70","null","null","null","null","null","null","I mash it at 66c to 65c for 60 min then i sparg it with 76-77c for 30 min

i boil it for 60 min with adding the hops.

puting it fermentation for 3 weeks and bottle it up"
"Barley's Bark Brown Ale","https://beerrecipes.org/Recipe/5434/barleys-bark-brown-ale.html","Beer Style: American Amber Ale (10B)

Recipe Type: partial mash

Yield: 5 US gallons","Original Gravity: 1.059 (14.4° P)
 Final Gravity: 1.013 SG (3.4° P)
 Alcohol by Vol: 6.0%
 Color SRM: 22.2  Color Sample 
 Bitterness IBU: 26.4
 Recipe Type: partial mash
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

1 reviews, Read the reviews","8.0 oz - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain)","8.0 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","8.0 oz - Chocolate Malt (350.0 SRM) (Grain)","8.0 oz - Vienna Malt (3.5 SRM) (Grain)","7 lbs - Pale Liquid Extract (8.0 SRM) (Grain)","0.5 oz - Bravo [12.0%] - Boil 60 min (Hops)","0.5 oz - Goldings, East Kent [7.0%] - Boil 20 min (Hops)","1 pkgs - California Ale (White Labs #WLP001) (Yeast)","null","null","null","null","null"
"Little Shed Jade IPA","https://beerrecipes.org/Recipe/1934/little-shed-jade-ipa.html","Beer Style: American IPA (14B)

Recipe Type: all-grain

Yield: 5.5 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","2.00 g - Calcium Chloride (Mash 60 min) (Misc)","2.00 g - Gypsum (Calcium Sulfate) (Mash 60 min) (Misc)","0.50 tsp - 5.2 Stabilizer (Mash 60 min) (Misc)","9 lbs - Brewers Malt 2-Row (Briess) (1.8 SRM) (Grain)","3 lbs - Pilsner (2 Row) Ger (2.0 SRM) (Grain)","1 lbs - Caramel Malt - 40L (Briess) (40.0 SRM) (Grain)","0.5 oz - Summit [14.2%] - Boil 60 min (Hops)","0.50 - Whirlfloc Tablet (Boil 13 min) (Misc)","0.50 tsp - Yeast Nutrient (Boil 13 min) (Misc)","2.0 oz - Citra Leaf [13.7%] - Boil 10 min (Hops)","1.5 oz - Citra Leaf [13.7%] - Boil 5 min (Hops)","1.5 oz - Citra Leaf [13.7%] - Boil 0 min (Hops)","null"
"Green Tea Pale Ale -10gal","https://beerrecipes.org/Recipe/2729/green-tea-pale-ale-10gal.html","Beer Style: American Pale Ale (10A)

Recipe Type: all-grain

Yield: 10 US gallons","null","5.0 stars based on 2 votes

2 reviews, Read the reviews","20 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","3 lbs - Cara-Pils/Dextrine (2.0 SRM) (Grain)","2 lbs - Munich Malt (light) 9L (9.0 SRM) (Grain)","1 lbs - Caramel/Crystal Malt - 15L (15.0 SRM) (Grain)","2.0 oz - Centennial [10.0%] - Boil 60 min (Hops)","2.0 oz - Cascade [5.5%] - Boil 10 min (Hops)","2 pkgs - California Ale (White Labs #WLP001) (Yeast)","null","null","null","null","null","null"
"Bob's Sandia Pale Ale","https://beerrecipes.org/Recipe/171/bobs-sandia-pale-ale.html","Beer Style: American Pale Ale (10A)

Recipe Type: extract

Yield: 5 US gallons","Source:
Robert Christner","5.0 stars based on 6 votes

No reviews","6 lbs light dry malt extract","1 lb carapils malt","1/4 cup malto dextrine","1 oz northern brewers pellets (boil)","2 oz cascade plugs (aroma and dry hop)","Wyeast (1968) london esb see note below","2/3 cup dextrose and small amount of any brewers yeast for prime and bottle","null","null","null","null","null","Start wyeast in usual fashion (at least 24 hrs prior). Steep grains at 158F for 15min in 1 gallon water, sparge with 1 gallon ~170F. Start boil with this original 2 gallons add DME, malto dextrine, and northern brewers pellets, boil 45 min, add 1/2 oz cascade, boil 10 more minutes then add another 1/2 oz cascade and turn off heat. Let sit 5 minutes, cool and add to ~3.5 gallons for a total volume 5 - 5.5 gallons. Pitch yeast (should be ~ 1 liter of starter). 



Note this yeast (wyeast 1968) activity is low and very little carbon dioxide is given off. This yeast is very flocculant and it will leave bottled beer flat, so just add a small amount of any other yeast with the dextrose at bottling to get good carbonation, however it produces a very smooth character to the brew that makes it worth using. 



Primary fermentation is complete in 4 days. Rack to secondary and add 1/2 cascade (dry hop). Bottle after ~ 7 days in secondary using 2/3 cup dextrose, and being careful to add additional yeast a 1/4 tsp of any dry yeast is plenty."
"Scottweiser #2 Amped","https://beerrecipes.org/Recipe/1116/scottweiser-2-amped.html","Beer Style: Standard American Lager (1B)

Recipe Type: partial mash

Yield: 5 US gallons","Original Gravity: 1.074
 Final Gravity: 1.023
 Alcohol by Vol: 6.68%
 Recipe Type: partial mash
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

No reviews","5lbs. 2row pilsner malt (bel)","3.3 lbs. pilsner LME","2 lbs. rice extract syrup","2lbs honey added at 5 min",".75 stryian golding at 60 min",".50 styrian golding at 5 min","1 whirlfloc tab at 15 min","1 cry havoc whitle labs yeast starter","null","null","null","null","add 2 gal 171 water two grains hold 45 min 158 degrees

add 1\2 gallon 200 degree hold 168 for ten min

sparge with 2 gallon water 170 for 30 min control your flow

boil mixture 60 making additions when called for

whirlfloc at 15 min also wort chiller if you got it

add honey at 5 min stir well

areate wort when to temp 

pitch starter shake vigs. 

ferment at 50 degrees for 14 days

keg and if you can wait let sit for 14 days

carbonate and enjoy, very good"
